id,customer_id,transaction_date,amount,category,status
1,1,2024-01-05,45.99,Retail,completed
2,2,2024-01-08,125.50,Electronics,completed
3,1,2024-01-15,28.75,Food,completed
4,3,2024-01-18,189.99,Electronics,failed
5,4,2024-01-22,67.80,Retail,completed
6,2,2024-02-03,245.00,Furniture,completed
7,5,2024-02-10,34.99,Food,completed
8,1,2024-02-14,156.25,Electronics,completed
9,3,2024-02-20,89.50,Retail,completed
10,6,2024-03-02,312.75,Electronics,completed
11,4,2024-03-08,45.60,Food,completed
12,2,2024-03-15,178.90,Retail,completed
13,7,2024-03-22,267.40,Electronics,completed
14,5,2024-04-05,92.15,Food,completed
15,1,2024-04-12,423.80,Electronics,completed
16,8,2024-04-18,156.70,Retail,completed
17,3,2024-05-03,89.99,Food,completed
18,6,2024-05-10,234.50,Electronics,failed
19,9,2024-05-17,345.25,Furniture,completed
20,2,2024-06-01,78.90,Food,completed
21,4,2024-06-08,456.30,Electronics,completed
22,10,2024-06-15,189.75,Retail,completed
23,7,2024-07-02,267.85,Electronics,completed
24,5,2024-07-10,54.20,Food,completed
25,1,2024-07-18,378.95,Electronics,completed
26,11,2024-07-25,123.45,Retail,completed
27,8,2024-08-05,289.60,Electronics,completed
28,3,2024-08-12,67.30,Food,completed
29,12,2024-08-20,412.80,Furniture,completed
30,6,2024-09-01,156.90,Electronics,completed
31,2,2024-09-08,45.75,Food,completed
32,13,2024-09-15,523.40,Electronics,completed
33,9,2024-09-22,234.15,Retail,completed
34,4,2024-10-02,89.50,Food,completed
35,14,2024-10-10,367.80,Electronics,completed
36,7,2024-10-18,145.25,Retail,completed
37,1,2024-11-01,478.90,Electronics,completed
38,10,2024-11-08,92.35,Food,completed
39,15,2024-11-15,289.70,Electronics,completed
40,5,2024-11-22,156.45,Retail,completed
41,3,2024-12-01,345.60,Electronics,completed
42,11,2024-12-08,78.20,Food,completed
43,8,2024-12-15,234.95,Electronics,completed
44,6,2024-01-10,512.30,Electronics,completed
45,12,2024-02-18,67.85,Food,completed
46,2,2024-03-25,189.50,Retail,completed
47,13,2024-04-22,423.75,Electronics,completed
48,9,2024-05-28,156.20,Food,completed
49,4,2024-06-20,289.90,Electronics,completed
50,14,2024-07-15,92.45,Retail,completed
